Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Precio_m2,Nombre,Valor_compra_venta,Numero_de_contratos
2014,1,1,Ciutat Vella,1,el Raval,10.76,60.4,142.8,356.0
2014,1,1,Ciutat Vella,2,el Barri Gòtic,10.58,78.1,332.1,135.0
2014,1,1,Ciutat Vella,3,la Barceloneta,14.4,39.4,155.8,130.0
2014,1,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11.01,67.9,323.9,196.0
2014,1,2,Eixample,5,el Fort Pienc,10.42,75.9,309.3,203.0
2014,1,2,Eixample,6,la Sagrada Família,10.55,65.9,198.1,298.0
2014,1,2,Eixample,7,la Dreta de l'Eixample,9.84,102.1,230.1,312.0
2014,1,2,Eixample,8,l'Antiga Esquerra de l'Eixample,10.35,86.3,336.3,352.0
2014,1,2,Eixample,9,la Nova Esquerra de l'Eixample,10.32,73.5,256.2,428.0
2014,1,2,Eixample,10,Sant Antoni,9.77,75.3,231.9,286.0
2014,1,3,Sants-Montjuïc,11,el Poble Sec,10.18,58.9,149.0,270.0
2014,1,3,Sants-Montjuïc,12,la Marina del Prat Vermell,,70.0,,1.0
2014,1,3,Sants-Montjuïc,13,la Marina de Port,8.34,69.0,158.6,83.0
2014,1,3,Sants-Montjuïc,14,la Font de la Guatlla,10.83,63.1,154.7,56.0
2014,1,3,Sants-Montjuïc,15,Hostafrancs,10.4,60.5,142.3,117.0
2014,1,3,Sants-Montjuïc,16,la Bordeta,9.46,67.9,162.8,89.0
2014,1,3,Sants-Montjuïc,17,Sants - Badal,9.94,61.0,150.8,149.0
2014,1,3,Sants-Montjuïc,18,Sants,9.89,64.1,371.8,316.0
2014,1,4,Les Corts,19,les Corts,11.39,73.3,212.2,222.0
2014,1,4,Les Corts,20,la Maternitat i Sant Ramon,10.02,72.4,309.7,100.0
2014,1,4,Les Corts,21,Pedralbes,11.19,110.9,434.8,50.0
2014,1,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",7.9,120.6,436.5,9.0
2014,1,5,Sarrià-Sant Gervasi,23,Sarrià,12.62,87.0,493.4,109.0
2014,1,5,Sarrià-Sant Gervasi,24,les Tres Torres,13.27,97.8,684.5,71.0
2014,1,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,11.46,94.2,530.5,120.0
2014,1,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,12.08,96.4,428.6,293.0
2014,1,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,11.06,75.7,332.5,214.0
2014,1,6,Gràcia,28,Vallcarca i els Penitents,10.18,74.2,203.2,75.0
2014,1,6,Gràcia,29,el Coll,9.77,64.2,184.4,43.0
2014,1,6,Gràcia,30,la Salut,10.2,69.0,272.4,77.0
2014,1,6,Gràcia,31,la Vila de Gràcia,11.59,63.9,313.5,512.0
2014,1,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,10.29,69.3,405.4,199.0
2014,1,7,Horta-Guinardó,33,el Baix Guinardó,9.63,68.2,253.5,141.0
2014,1,7,Horta-Guinardó,34,Can Baró,9.97,58.6,161.0,47.0
2014,1,7,Horta-Guinardó,35,el Guinardó,9.35,66.0,202.1,201.0
2014,1,7,Horta-Guinardó,36,la Font d'en Fargues,9.26,65.5,285.3,21.0
2014,1,7,Horta-Guinardó,37,el Carmel,8.41,59.8,129.4,150.0
2014,1,7,Horta-Guinardó,38,la Teixonera,8.52,60.6,89.8,54.0
2014,1,7,Horta-Guinardó,39,Sant Genís dels Agudells,7.72,72.6,162.5,32.0
2014,1,7,Horta-Guinardó,40,Montbau,9.48,60.1,114.4,11.0
2014,1,7,Horta-Guinardó,41,la Vall d'Hebron,10.59,69.5,194.2,11.0
2014,1,7,Horta-Guinardó,42,la Clota,,40.0,,1.0
2014,1,7,Horta-Guinardó,43,Horta,8.85,66.0,149.6,109.0
2014,1,8,Nou Barris,44,Vilapicina i la Torre Llobeta,8.85,65.0,169.2,125.0
2014,1,8,Nou Barris,45,Porta,8.58,63.5,138.4,120.0
2014,1,8,Nou Barris,46,el Turó de la Peira,7.59,67.9,105.0,69.0
2014,1,8,Nou Barris,47,Can Peguera,6.03,38.9,,15.0
2014,1,8,Nou Barris,48,la Guineueta,8.11,76.7,87.3,53.0
2014,1,8,Nou Barris,49,Canyelles,7.35,81.0,98.6,6.0
2014,1,8,Nou Barris,50,les Roquetes,8.53,55.2,97.9,61.0
2014,1,8,Nou Barris,51,Verdun,9.03,57.9,92.3,47.0
2014,1,8,Nou Barris,52,la Prosperitat,9.03,59.6,102.1,114.0
2014,1,8,Nou Barris,53,la Trinitat Nova,8.96,51.0,71.4,34.0
2014,1,8,Nou Barris,54,Torre Baró,,77.5,,2.0
2014,1,8,Nou Barris,55,Ciutat Meridiana,6.23,58.0,63.8,40.0
2014,1,8,Nou Barris,56,Vallbona,,76.0,,1.0
2014,1,9,Sant Andreu,57,la Trinitat Vella,8.28,58.5,126.7,41.0
2014,1,9,Sant Andreu,58,Baró de Viver,,57.6,,5.0
2014,1,9,Sant Andreu,59,el Bon Pastor,8.09,62.6,135.7,38.0
2014,1,9,Sant Andreu,60,Sant Andreu,9.39,66.6,164.3,267.0
2014,1,9,Sant Andreu,61,la Sagrera,9.28,69.3,192.5,154.0
2014,1,9,Sant Andreu,62,el Congrés i els Indians,9.21,63.4,162.3,71.0
2014,1,9,Sant Andreu,63,Navas,9.2,70.1,244.6,101.0
2014,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,9.96,61.3,281.9,245.0
2014,1,10,Sant Martí,65,el Clot,9.82,64.5,187.3,135.0
2014,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,11.04,66.8,198.0,72.0
2014,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,12.37,83.3,,36.0
2014,1,10,Sant Martí,68,el Poblenou,11.38,62.1,258.9,177.0
2014,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,10.82,75.8,584.9,68.0
2014,1,10,Sant Martí,70,el Besòs i el Maresme,8.51,60.9,139.2,79.0
2014,1,10,Sant Martí,71,Provençals del Poblenou,9.54,68.0,302.0,85.0
2014,1,10,Sant Martí,72,Sant Martí de Provençals,8.73,78.3,264.6,84.0
2014,1,10,Sant Martí,73,la Verneda i la Pau,8.34,70.6,108.0,69.0
2014,2,1,Ciutat Vella,1,el Raval,10.52,57.4,195.2,1799.0
2014,2,1,Ciutat Vella,2,el Barri Gòtic,10.18,79.9,303.7,409.0
2014,2,1,Ciutat Vella,3,la Barceloneta,14.53,40.1,168.0,169.0
2014,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",11.23,68.9,240.2,164.0
2014,2,2,Eixample,5,el Fort Pienc,10.06,75.8,321.2,264.0
2014,2,2,Eixample,6,la Sagrada Família,10.59,65.8,250.0,257.0
2014,2,2,Eixample,7,la Dreta de l'Eixample,10.63,98.4,211.8,391.0
2014,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,10.98,81.6,392.3,372.0
2014,2,2,Eixample,9,la Nova Esquerra de l'Eixample,10.63,70.9,247.7,370.0
