Mes,Año,Precio_m2,Data,id
Octubre,2021,15,Octubre-2021,161
Septiembre,2021,14.8,Septiembre-2021,160
Agosto,2021,14.6,Agosto-2021,159
Julio,2021,14.6,Julio-2021,158
Junio,2021,14.5,Junio-2021,157
Mayo,2021,14.5,Mayo-2021,156
Abril,2021,14.5,Abril-2021,155
Marzo,2021,14.5,Marzo-2021,154
Febrero,2021,14.5,Febrero-2021,153
Enero,2021,14.6,Enero-2021,152
Diciembre,2020,14.9,Diciembre-2020,151
Noviembre,2020,15.3,Noviembre-2020,150
Octubre,2020,15.7,Octubre-2020,149
Septiembre,2020,16,Septiembre-2020,148
Agosto,2020,16,Agosto-2020,147
Julio,2020,16.2,Julio-2020,146
Junio,2020,16.8,Junio-2020,145
Mayo,2020,17.6,Mayo-2020,144
Abril,2020,17.4,Abril-2020,143
Marzo,2020,17,Marzo-2020,142
Febrero,2020,16.8,Febrero-2020,141
Enero,2020,16.7,Enero-2020,140
Diciembre,2019,16.5,Diciembre-2019,139
Noviembre,2019,16.5,Noviembre-2019,138
Octubre,2019,16.7,Octubre-2019,137
Septiembre,2019,16.7,Septiembre-2019,136
Agosto,2019,16.6,Agosto-2019,135
Julio,2019,16.6,Julio-2019,134
Junio,2019,16.5,Junio-2019,133
Mayo,2019,16.5,Mayo-2019,132
Abril,2019,16.3,Abril-2019,131
Marzo,2019,16.3,Marzo-2019,130
Febrero,2019,16.2,Febrero-2019,129
Enero,2019,16.3,Enero-2019,128
Diciembre,2018,16.2,Diciembre-2018,127
Noviembre,2018,16.3,Noviembre-2018,126
Octubre,2018,16.4,Octubre-2018,125
Septiembre,2018,16.2,Septiembre-2018,124
Agosto,2018,16.1,Agosto-2018,123
Julio,2018,16.2,Julio-2018,122
Junio,2018,16.3,Junio-2018,121
Mayo,2018,16.6,Mayo-2018,120
Abril,2018,16.6,Abril-2018,119
Marzo,2018,16.6,Marzo-2018,118
Febrero,2018,16.6,Febrero-2018,117
Enero,2018,16.5,Enero-2018,116
Diciembre,2017,16.6,Diciembre-2017,115
Noviembre,2017,16.5,Noviembre-2017,114
Octubre,2017,16.6,Octubre-2017,113
Septiembre,2017,16.4,Septiembre-2017,112
Agosto,2017,16.1,Agosto-2017,111
Julio,2017,16.2,Julio-2017,110
Junio,2017,16.4,Junio-2017,109
Mayo,2017,16.4,Mayo-2017,108
Abril,2017,16.5,Abril-2017,107
Marzo,2017,16.5,Marzo-2017,106
Febrero,2017,16.4,Febrero-2017,105
Enero,2017,16.2,Enero-2017,104
Diciembre,2016,16,Diciembre-2016,103
Noviembre,2016,15.7,Noviembre-2016,102
Octubre,2016,15.2,Octubre-2016,101
Septiembre,2016,14.6,Septiembre-2016,100
Agosto,2016,14.2,Agosto-2016,99
Julio,2016,14.1,Julio-2016,98
Junio,2016,14,Junio-2016,97
Mayo,2016,14,Mayo-2016,96
Abril,2016,13.9,Abril-2016,95
Marzo,2016,13.8,Marzo-2016,94
Febrero,2016,13.8,Febrero-2016,93
Enero,2016,13.5,Enero-2016,92
Diciembre,2015,13.4,Diciembre-2015,91
Noviembre,2015,13.1,Noviembre-2015,90
Octubre,2015,12.8,Octubre-2015,89
Septiembre,2015,12.5,Septiembre-2015,88
Agosto,2015,12.3,Agosto-2015,87
Julio,2015,12.3,Julio-2015,86
Junio,2015,12.2,Junio-2015,85
Mayo,2015,12.2,Mayo-2015,84
Abril,2015,12.2,Abril-2015,83
Marzo,2015,12,Marzo-2015,82
Febrero,2015,12,Febrero-2015,81
Enero,2015,12,Enero-2015,80
Diciembre,2014,11.9,Diciembre-2014,79
Noviembre,2014,11.6,Noviembre-2014,78
Octubre,2014,11.5,Octubre-2014,77
Septiembre,2014,11.3,Septiembre-2014,76
Agosto,2014,11.1,Agosto-2014,75
Julio,2014,11.1,Julio-2014,74
Junio,2014,11.1,Junio-2014,73
Mayo,2014,11,Mayo-2014,72
Abril,2014,11,Abril-2014,71
Marzo,2014,11,Marzo-2014,70
Febrero,2014,11,Febrero-2014,69
Enero,2014,10.9,Enero-2014,68
Diciembre,2013,10.9,Diciembre-2013,67
Noviembre,2013,10.9,Noviembre-2013,66
Octubre,2013,11,Octubre-2013,65
Septiembre,2013,11,Septiembre-2013,64
Agosto,2013,10.9,Agosto-2013,63
Julio,2013,10.9,Julio-2013,62
Junio,2013,10.9,Junio-2013,61
Mayo,2013,10.9,Mayo-2013,60
Abril,2013,11,Abril-2013,59
Marzo,2013,11.1,Marzo-2013,58
Febrero,2013,11.1,Febrero-2013,57
Enero,2013,11.2,Enero-2013,56
Diciembre,2012,11.3,Diciembre-2012,55
Noviembre,2012,11.5,Noviembre-2012,54
Octubre,2012,11.6,Octubre-2012,53
Septiembre,2012,11.7,Septiembre-2012,52
Agosto,2012,11.7,Agosto-2012,51
Julio,2012,11.6,Julio-2012,50
Junio,2012,11.6,Junio-2012,49
Mayo,2012,11.7,Mayo-2012,48
Abril,2012,11.7,Abril-2012,47
Marzo,2012,11.9,Marzo-2012,46
Febrero,2012,12,Febrero-2012,45
Enero,2012,12.1,Enero-2012,44
Diciembre,2011,12,Diciembre-2011,43
Noviembre,2011,12,Noviembre-2011,42
Octubre,2011,12.1,Octubre-2011,41
Septiembre,2011,12,Septiembre-2011,40
Agosto,2011,12,Agosto-2011,39
Julio,2011,12.1,Julio-2011,38
Junio,2011,12.3,Junio-2011,37
Mayo,2011,12.5,Mayo-2011,36
Abril,2011,12.6,Abril-2011,35
Marzo,2011,12.7,Marzo-2011,34
Febrero,2011,12.7,Febrero-2011,33
Enero,2011,12.8,Enero-2011,32
Diciembre,2010,12.9,Diciembre-2010,31
Noviembre,2010,13.1,Noviembre-2010,30
Octubre,2010,13.2,Octubre-2010,29
Septiembre,2010,13.3,Septiembre-2010,28
Agosto,2010,13.2,Agosto-2010,27
Julio,2010,13.5,Julio-2010,26
Junio,2010,13.5,Junio-2010,25
